GENE	Par_RR_dS	Par_RR_Omega	Par_RR_dS_PP	Par_RR_Omega_PP	Sig
10934.38268924.zinc_carboxypeptidase_family_protein__putative__expressed	0.064	-0.0158	0.58	0.5	*
10936.38268967.expressed_protein	0.0356	-0.381	0.53	0.18	*
10941.38269062.HSP20_like_chaperones_superfamily_protein	-0.0676	-0.107	0.46	0.44	*
10947.38269202.expressed_protein	-0.211	-0.851	0.31	0.00038	*
10948.38269221.expressed_protein	0.403	-0.161	0.76	0.39	*
1095.38094703.sterol_carrier_protein_2	0.396	-0.276	0.83	0.22	*
10954.38269315.nucleic_acid_binding_nucleic_acid_binding	0.0294	-0.404	0.52	0.15	*
10955.38269353.	-0.376	0.308	0.24	0.69	*
10959.38269407.DUF538_domain_containing_protein__putative__expressed	-0.552	-0.487	0.099	0.14	*
1096.38094705.expressed_protein	-0.238	0.309	0.23	0.77	*
10963.38269484.expressed_protein	-0.0473	-0.359	0.47	0.24	*
10966.38269563.myosin_like_protein_XIF	-0.0393	0.198	0.47	0.63	*
10970.38269627.glutaredoxin_domain_containing_protein__putative__expressed	-0.558	-0.188	0.057	0.3	*
10975.38269700.expressed_protein	-0.355	0.197	0.25	0.62	*
1098.38094758.expressed_protein	0.329	-0.537	0.77	0.11	*
10983.38269828.hydroxymethylglutaryl_CoA_lyase__putative__expressed	-0.239	-0.456	0.28	0.21	*
10986.38269942.Protein_of_unknown_function__DUF599	0.109	-0.452	0.58	0.14	*
10988.38270041.pentatricopeptide__putative__expressed	0.312	-0.77	0.7	0.04	*
1099.38094406.	-0.226	0.249	0.28	0.73	*
10990.38270103.expressed_protein	-0.404	0.0559	0.24	0.53	*
10998.38270266.cullin_family_domain_containing_protein__putative__expressed	-nan	-nan	0.63	0.41	*
1100.38094808.expressed_protein	0.574	-0.913	0.87	0.0031	*
11000.38270347.	-0.0311	0.578	0.48	0.96	*
11002.38270379.kelch_repeat_protein__putative__expressed	0.0024	-0.00915	0.5	0.49	*
11003.38270415.kelch_repeat_protein__putative__expressed	-0.499	0.45	0.17	0.78	*
11008.38270481.Shugoshin_C_terminus	-0.252	0.224	0.28	0.67	*
11009.38270502.	0.349	0.213	0.78	0.73	*
11011.38270579.expressed_protein	-0.318	0.294	0.17	0.83	*
1102.38094474.CCAAT_displacement_protein_alternatively_spliced_product	-0.273	-0.108	0.29	0.42	*
1102.38094815.mitochondrial_ATP_synthase_g_subunit_family_protein__putative__expressed	-0.595	0.0255	0.11	0.52	*
11020.38270758.	0.516	-0.781	0.89	0.013	*
11029.38270831.Plant_self_incompatibility_protein_S1_family	-0.351	0.321	0.24	0.65	*
1103.38094816.cytochrome_c_type_biogenesis_protein_ccmH_precursor__putative__expressed	-0.488	0.396	0.14	0.82	*
11031.38270852.D_alanine__D_alanine_ligase_family__putative__expressed	0.0285	-0.187	0.53	0.34	*
11036.38271068.RNASEH2A___Putative_ribonuclease_H2_large_subunit__expressed	-0.425	-0.256	0.2	0.33	*
11039.38271088.diphthine_synthase__putative__expressed	0.0305	-0.806	0.52	0.018	*
1104.38094521.expressed_protein	-0.705	0.446	0.027	0.9	*
11040.38271113.	0.274	-0.343	0.8	0.16	*
11048.38271214.OsCttP1___Putative_C_terminal_processing_peptidase_homologue__expressed	-0.14	-0.404	0.35	0.15	*
1105.38094831.expressed_protein	-0.138	-0.103	0.33	0.4	*
11055.38271305.	-0.275	0.201	0.24	0.69	*
1106.38094539.Protein_kinase_superfamily_protein	-0.352	0.125	0.24	0.57	*
11061.38271386.Methyltransferase_small_domain_containing_protein__expressed	-0.0382	0.105	0.46	0.59	*
11064.38271476.	-0.512	-0.208	0.05	0.28	*
1107.38094954.	-0.606	0.242	0.12	0.67	*
11072.38271625.expressed_protein	-0.481	0.483	0.099	0.87	*
11078.38271740.chlororespiratory_reduction_7	-0.495	-0.289	0.052	0.23	*
11080.38271744.exonuclease__putative__expressed	-0.577	0.0503	0.033	0.53	*
11083.38271796.	0.207	0.00248	0.65	0.5	*
11092.38271883.	-0.349	-0.631	0.2	0.06	*
11096.38271989.cell_division_inhibitor__putative__expressed	0.00406	-0.525	0.5	0.089	*
11098.38272003.glycine_rich_protein__putative__expressed	-0.11	-0.454	0.42	0.22	*
1110.38094703.sterol_carrier_protein_2	0.409	-0.272	0.84	0.24	*
11100.38272020.methyltransferase_domain_containing_protein__expressed	-0.272	-0.488	0.25	0.14	*
11105.38272141.FAD_dependent_oxidoreductase_family_protein	0.0861	-0.0304	0.57	0.47	*
11106.38272154.UDP_Glycosyltransferase_superfamily_protein	-0.345	-0.839	0.28	0.034	*
1111.38094705.expressed_protein	-0.238	0.263	0.22	0.74	*
11110.38272240.	0.267	-0.465	0.69	0.2	*
11111.38272247.Domain_of_unknown_function__DUF313__	0.0205	0.314	0.52	0.73	*
11116.38272308.Tetratricopeptide_repeat__TPR__like_superfamily_protein	0.203	0.29	0.72	0.83	*
11121.38272458.sensitivity_to_red_light_reduced_protein__SRR1_	-0.104	-0.533	0.41	0.094	*
11124.38272522.SET_domain_containing_protein__putative__expressed	-0.453	0.12	0.18	0.59	*
11127.38272554.zinc_knuckle_domain_containing_protein__expressed	0.47	-0.0807	0.94	0.41	*
1113.38094758.expressed_protein	0.322	-0.512	0.77	0.13	*
11132.38272653.SNF7_family_protein	-0.219	-0.0552	0.29	0.46	*
11140.38272751.expressed_protein	-0.0842	-0.681	0.41	0.032	*
11143.38272779.	-0.374	0.216	0.24	0.64	*
11149.38272886.copper_ion_binding	0.199	-0.383	0.65	0.25	*
1115.38094808.expressed_protein	0.603	-0.911	0.88	0.0076	*
11163.38273167.carboxylesterases	-0.147	-0.499	0.32	0.068	*
11165.38273213.expressed_protein	-0.343	-0.0936	0.18	0.41	*
11168.38273255.TRM112__putative__expressed	0.833	-0.811	0.97	0.012	*
11171.38273331.	0.198	-0.354	0.64	0.25	*
11173.38273367.expressed_protein	-nan	-nan	0.47	0.51	*
11177.38273392.expressed_protein	-0.152	-0.15	0.36	0.36	*
1118.38094815.mitochondrial_ATP_synthase_g_subunit_family_protein__putative__expressed	-0.561	0.00499	0.13	0.5	*
1118.38095141.	-0.162	-0.37	0.34	0.25	*
11180.38273457.	-0.27	-0.222	0.27	0.34	*
11184.38273483.TRAF_like_superfamily_protein	-0.715	-0.53	0.0099	0.059	*
11185.38273487.TRAF_like_superfamily_protein	-0.337	-0.333	0.15	0.19	*
11187.38273520.TRAF_like_superfamily_protein	0.139	0.43	0.58	0.76	*
1119.38094816.cytochrome_c_type_biogenesis_protein_ccmH_precursor__putative__expressed	-0.476	0.373	0.14	0.82	*
11195.38273782.AMP_binding_domain_containing_protein__expressed	0.0209	-0.214	0.5	0.38	*
1120.38095155.expressed_protein	-0.381	-0.737	0.21	0.059	*
11201.38273866.WD_repeat_containing_protein__putative__expressed	-0.657	0.389	0.048	0.82	*
11204.38273901.nop14_like_family_protein__expressed	0.0116	0.632	0.51	0.96	*
11205.38273942.Ribosomal_RNA_processing_Brix_domain_protein	-0.475	-0.152	0.055	0.3	*
11206.38273943.expressed_protein	-0.231	0.205	0.23	0.73	*
11207.38273975.Ubiquinol_cytochrome_C_reductase_hinge_protein	-0.447	0.305	0.19	0.7	*
1121.38094831.expressed_protein	-0.172	-0.066	0.28	0.45	*
1121.38095165.expressed_protein	-0.416	0.421	0.11	0.83	*
11212.38274065.tetracycline_transporter_protein__putative__expressed	-nan	-nan	0.031	0.97	*
11213.38274098.	0.166	-0.241	0.62	0.34	*
11216.38274110.SOH1_family_protein	0.253	-0.106	0.73	0.42	*
11218.38274196.O_fucosyltransferase_family_protein	-0.44	-0.0956	0.079	0.37	*
11219.38274203.O_fucosyltransferase_family_protein	-nan	-nan	0.62	0.38	*
11221.38274277.expressed_protein	-0.357	-0.664	0.2	0.012	*
11222.38274291.expressed_protein	-0.436	0.187	0.19	0.61	*
11225.38274372.expressed_protein	-0.375	-0.235	0.11	0.27	*
11227.38274415.Pentatricopeptide_repeat__PPR_like__superfamily_protein	0.365	-0.132	0.88	0.37	*
1123.38094954.	-0.621	0.218	0.12	0.65	*
11232.38274517.RNA_binding_protein__putative__expressed	-0.449	-0.458	0.066	0.049	*
11236.38274579.P_loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	-0.503	-0.287	0.1	0.23	*
1124.38095199.expressed_protein	-0.00819	-0.379	0.48	0.16	*
11240.38274594.cell_division_cycle_5	-0.171	-0.165	0.32	0.36	*
11243.38274612.elongator_protein_2	-0.526	-0.883	0.13	0.0042	*
11245.38274616.expressed_protein	-0.0782	0.0178	0.42	0.51	*
1125.38095260.	0.362	0.224	0.86	0.74	*
11251.38274728.expressed_protein	-0.231	-0.502	0.25	0.076	*
11254.38274821.	0.0769	-0.159	0.55	0.39	*
11256.38274830.nmrA_like_family_domain_containing_protein__expressed	-0.478	0.281	0.19	0.69	*
11258.38274833.ureidoglycine_aminohydrolase	0.0947	0.0181	0.58	0.51	*
11265.38275045.expressed_protein	-0.0595	-0.339	0.46	0.28	*
11268.38275090.pyruvate_orthophosphate_dikinase	0.00696	-0.09	0.51	0.44	*
11270.38275126.protein_arginine_methyltransferase_10	-0.208	0.755	0.34	0.95	*
11282.38275366.PIR__putative__expressed	-0.384	-0.218	0.12	0.23	*
11286.38275412.pentatricopeptide__putative__expressed	-0.344	0.322	0.19	0.74	*
11288.38275440.rhodanese_like__putative__expressed	-0.155	-0.0592	0.39	0.46	*
11289.38275442.tetratricopeptide_repeat__TPR__containing_protein	0.172	-0.365	0.65	0.18	*
11294.38275521.Thioredoxin_superfamily_protein	-nan	-nan	0.046	0.94	*
1130.38095357.heteroglycan_glucosidase_1	0.307	0.439	0.82	0.92	*
11301.38275587.expressed_protein	-0.364	0.138	0.12	0.62	*
11307.38275664.expressed_protein	-0.936	0.419	0.013	0.77	*
11310.38275692.phosphatidylinositol_transfer_protein_alpha_isoform__putative__expressed	-0.632	-0.64	0.012	0.0089	*
11312.38275784.expressed_protein	-0.00924	0.202	0.49	0.69	*
11316.38275832.protein_kri1__putative__expressed	-0.224	-0.356	0.24	0.15	*
1132.38095379.Sugar_isomerase__SIS__family_protein	-0.238	0.285	0.3	0.76	*
11323.38275924.	-0.0613	-0.157	0.45	0.37	*
11324.38275953.	-0.219	-0.628	0.34	0.11	*
11326.38275974.FAD_binding_protein__putative__expressed	-0.539	-0.4	0.1	0.22	*
1133.38095497.expressed_protein	-0.0454	-0.247	0.46	0.33	*
11333.38276106.ATPase__AFG1_family_domain_containing_protein__expressed	-0.169	0.0455	0.35	0.56	*
11335.38276126.Plant_protein_of_unknown_function__DUF828_	-0.249	-0.16	0.28	0.39	*
11336.38276129.	-0.434	-0.569	0.13	0.09	*
1134.38095141.	-0.174	-0.312	0.33	0.28	*
1134.38095511.expressed_protein	-0.373	0.217	0.29	0.65	*
11342.38276184.Oxidoreductase_family_protein	0.0482	0.0737	0.53	0.56	*
11349.38276281.expressed_protein	0.0773	-0.649	0.51	0.15	*
11350.38276301.expressed_protein	0.575	-0.143	0.97	0.35	*
11353.38276356.RAN_guanine_nucleotide_release_factor__putative__expressed	-0.629	0.39	0.088	0.79	*
11358.38276503.RNA_polymerase_II_fifth_largest_subunit__E	0.349	-0.469	0.78	0.17	*
1136.38095155.expressed_protein	-0.34	-0.78	0.24	0.05	*
11363.38276579.Glycine_rich_protein_family	-nan	-nan	0.36	0.59	*
11364.38276601.kinesin_motor_domain_containing_protein__putative__expressed	-0.179	-0.429	0.34	0.18	*
11366.38276617.ARM_repeat_superfamily_protein	-0.0153	-0.0183	0.48	0.48	*
11367.38276619.ARM_repeat_superfamily_protein	0.144	0.771	0.6	0.9	*
11368.38276622.ARM_repeat_superfamily_protein	-0.114	0.134	0.39	0.63	*
11369.38276633.	0.142	-0.0774	0.61	0.45	*
1137.38095165.expressed_protein	-0.369	0.422	0.14	0.84	*
1137.38095535.expressed_protein	-0.186	-0.0143	0.37	0.49	*
11370.38276657.temperature_sensing_protein_related	-0.415	-0.335	0.088	0.16	*
11371.38276670.fiber_protein_Fb14__putative__expressed	0.094	0.209	0.58	0.63	*
11375.38276784.Cytochrome_C1_family	-0.21	0.0976	0.33	0.58	*
11378.38276809.DNA_directed_RNA_polymerase_II	-0.196	0.189	0.35	0.66	*
11379.38276822.DNA_directed_RNA_polymerase_II	-0.687	-0.65	0.053	0.065	*
11380.38276846.cytochrome_P450__putative__expressed	-0.0463	-0.723	0.47	0.023	*
11381.38276852.dual_specificity_protein_phosphatase__putative__expressed	-0.719	-0.509	0.019	0.074	*
11383.38276897.pescadillo_related	-0.312	-0.134	0.16	0.36	*
11386.38276938.Zinc_finger_C_x8_C_x5_C_x3_H_type_family_protein	-0.375	-0.168	0.13	0.34	*
11387.38276939.cellulase__putative__expressed	-0.318	0.248	0.16	0.72	*
11388.38276946.Mitochondrial_outer_membrane_translocase_complex__subunit_Tom7	0.659	0.335	0.9	0.72	*
1139.38095582.BEL1_like_homeodomain_11	-0.158	0.176	0.39	0.62	*
11390.38276960.expressed_protein	0.00471	-0.724	0.51	0.07	*
11391.38276971.expressed_protein	-0.431	-0.444	0.18	0.16	*
11392.38276976.translocase_11	0.216	-0.253	0.69	0.29	*
11394.38276989.expressed_protein	0.143	0.533	0.66	0.9	*
11398.38277083.eukaryotic_translation_initiation_factor_4B__putative__expressed	-0.339	0.181	0.25	0.61	*
1140.38095199.expressed_protein	-0.0349	-0.368	0.45	0.18	*
1140.38095615.saccharopine_dehydrogenase__putative__expressed	-0.337	-0.304	0.2	0.24	*
11402.38277128.expressed_protein	-0.355	-0.396	0.17	0.16	*
11406.38277141.nicalin__putative__expressed	-0.055	0.212	0.44	0.7	*
1141.38095260.	0.365	0.197	0.86	0.71	*
11412.38277264.heavy_metal_associated_domain_containing_protein__expressed	-0.0793	0.118	0.44	0.58	*
11414.38277294.expressed_protein	0.135	-0.17	0.62	0.38	*
11419.38277434.AT_hook_motif_domain_containing_protein__expressed	-0.218	0.717	0.36	0.89	*
1142.38095631.expressed_protein	-0.223	-0.389	0.34	0.27	*
11422.38277466.expressed_protein	-0.78	0.467	0.0017	0.94	*
11423.38277480.	-0.185	-0.518	0.33	0.15	*
11428.38277790.Protein_kinase_superfamily_protein	-0.761	-0.304	0.0028	0.14	*
11429.38277830.Protein_kinase_superfamily_protein	-0.44	-0.609	0.17	0.081	*
1143.38095639.expressed_protein	-0.319	0.187	0.27	0.62	*
11432.38277861.flavonol_synthase__putative__expressed	-nan	-nan	0.21	0.82	*
11436.38277938.GIY_YIG_catalytic_domain_containing_protein__putative__expressed	0.257	-0.749	0.68	0.06	*
11437.38277940.THO_complex___subunit_5	-0.00177	-0.583	0.49	0.13	*
11441.38278015.nucleotide_binding	0.133	0.276	0.6	0.68	*
11443.38278062.	-0.592	0.223	0.091	0.69	*
11446.38278082.GRAM_domain_containing_protein__expressed	0.0576	0.292	0.56	0.67	*
11449.38278156.	0.243	-0.204	0.68	0.37	*
11451.38278209.pyridine_nucleotide_disulphide_oxidoreductase_domain_containing_protein__expressed	-0.367	0.307	0.15	0.76	*
11452.38278211.ribosomal_protein__putative__expressed	-0.547	0.367	0.069	0.85	*
11453.38278223.	0.0144	0.275	0.52	0.69	*
11455.38278258.expressed_protein	-0.486	-0.159	0.12	0.37	*
1146.38095357.heteroglycan_glucosidase_1	0.302	0.452	0.83	0.92	*
11460.38278294.ATP_binding_ATP_dependent_helicases_DNA_helicases	0.249	-0.624	0.73	0.1	*
1148.38095379.Sugar_isomerase__SIS__family_protein	-0.207	0.273	0.33	0.73	*
1150.38095497.expressed_protein	-0.169	-0.137	0.36	0.39	*
1151.38095511.expressed_protein	-0.21	0.0374	0.37	0.53	*
1151.38095743.actin_related_protein_C3	-0.209	-0.363	0.28	0.17	*
1152.38095750.HIT_type_Zinc_finger_family_protein	-0.286	0.62	0.29	0.89	*
1154.38095535.expressed_protein	-0.18	0.00636	0.37	0.5	*
1156.38095582.BEL1_like_homeodomain_11	-0.211	0.224	0.36	0.66	*
1157.38095615.saccharopine_dehydrogenase__putative__expressed	-0.362	-0.328	0.18	0.22	*
1158.38095924.glycosyltransferase_family_protein_28	0.0164	-0.0863	0.52	0.44	*
1159.38095631.expressed_protein	-0.21	-0.425	0.36	0.25	*
1159.38095966.expressed_protein	-0.472	-0.391	0.15	0.25	*
1160.38095639.expressed_protein	-0.315	0.239	0.27	0.65	*
1163.38096059.CCAAT_binding_factor	-0.235	-0.325	0.28	0.28	*
1168.38095743.actin_related_protein_C3	-0.252	-0.332	0.25	0.19	*
1169.38095750.HIT_type_Zinc_finger_family_protein	-0.337	0.614	0.24	0.9	*
1175.38095924.glycosyltransferase_family_protein_28	-0.0248	-0.119	0.49	0.43	*
1176.38095966.expressed_protein	-0.528	-0.386	0.1	0.25	*
118.38077489.expressed_protein	-0.261	-0.37	0.24	0.16	*
1180.38096480.Metal_dependent_phosphohydrolase	-0.531	-0.083	0.078	0.4	*
1181.38096059.CCAAT_binding_factor	-0.244	-0.275	0.27	0.31	*
1181.38096485.	-0.283	-0.337	0.26	0.29	*
1186.38096534.zinc_ion_binding	-0.386	0.562	0.18	0.88	*
1195.38096737.homeobox_from_Arabidopsis_thaliana	0.0876	0.172	0.56	0.61	*
1196.38096751.metallothionein_3	-0.168	0.319	0.29	0.81	*
1198.38096480.Metal_dependent_phosphohydrolase	-0.529	-0.0955	0.079	0.4	*
1199.38096485.	-0.255	-0.402	0.28	0.23	*
1199.38096892.Protein_prenylyltransferase_superfamily_protein	-0.163	0.0336	0.35	0.52	*
120.38077489.expressed_protein	-0.203	-0.377	0.29	0.15	*
1200.38096926.	0.64	-0.667	0.96	0.035	*
1204.38096534.zinc_ion_binding	-0.392	0.616	0.19	0.89	*
1207.38097031.ketose_bisphosphate_aldolase_class_II_family_protein	-0.53	-0.603	0.047	0.021	*
1208.38097042.ketose_bisphosphate_aldolase_class_II_family_protein	-0.0528	-0.767	0.44	0.0033	*
1209.38097063.expressed_protein	-0.135	-0.731	0.36	0.0029	*
1212.38097094.expressed_protein	-0.745	0.371	0.013	0.78	*
1213.38096737.homeobox_from_Arabidopsis_thaliana	0.138	0.336	0.61	0.71	*
1214.38096751.metallothionein_3	-0.174	0.298	0.29	0.8	*
1217.38096892.Protein_prenylyltransferase_superfamily_protein	-0.166	0.0115	0.34	0.51	*
1218.38097202.sucrose_phosphatase_related	0.317	-0.4	0.72	0.25	*
1219.38096926.	0.627	-0.588	0.97	0.057	*
1221.38097224.expressed_protein	-0.149	-0.0263	0.35	0.46	*
1226.38097031.ketose_bisphosphate_aldolase_class_II_family_protein	-0.518	-0.601	0.052	0.028	*
1226.38097287.Eukaryotic_aspartyl_protease_family_protein	0.548	0.33	0.91	0.77	*
1227.38097042.ketose_bisphosphate_aldolase_class_II_family_protein	-0.0658	-0.761	0.44	0.0036	*
1227.38097312.PAP_fibrillin_family_domain_containing_protein__expressed	-0.151	-0.266	0.36	0.26	*
1228.38097063.expressed_protein	-0.0859	-0.735	0.4	0.0019	*
1228.38097322.PAP_fibrillin_family_domain_containing_protein__expressed	0.309	0.0684	0.72	0.54	*
1229.38097325.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.557	-0.35	0.088	0.21	*
1231.38097094.expressed_protein	-0.745	0.39	0.011	0.81	*
1236.38097427.conserved_hypothetical_protein	-nan	-nan	0.24	0.62	*
1237.38097202.sucrose_phosphatase_related	0.319	-0.448	0.72	0.21	*
1240.38097224.expressed_protein	-0.154	-0.0265	0.35	0.46	*
1241.38097492.WRKY32__expressed	0.0749	-0.987	0.55	0.00014	*
1245.38097287.Eukaryotic_aspartyl_protease_family_protein	0.706	0.459	0.98	0.89	*
1246.38097312.PAP_fibrillin_family_domain_containing_protein__expressed	-0.212	-0.222	0.3	0.3	*
1247.38097322.PAP_fibrillin_family_domain_containing_protein__expressed	0.321	0.108	0.74	0.57	*
1248.38097325.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.536	-0.305	0.092	0.25	*
125.38077574.expressed_protein	-0.574	-0.231	0.066	0.3	*
1250.38097544.SNARE_like_superfamily_protein	-0.311	-0.198	0.21	0.31	*
1251.38097587.SNARE_like_superfamily_protein	-0.145	0.181	0.38	0.63	*
1252.38097599.SNARE_like_superfamily_protein	-0.0789	-0.186	0.44	0.38	*
1254.38097634.SNARE_like_superfamily_protein	-0.0987	-0.301	0.38	0.31	*
1255.38097427.conserved_hypothetical_protein	-0.387	0.192	0.21	0.67	*
1256.38097659.ARM_repeat_superfamily_protein	0.116	0.411	0.58	0.76	*
1259.38097749.CAAX_amino_terminal_protease_family_protein	0.00579	-0.764	0.51	0.063	*
1261.38097492.WRKY32__expressed	0.127	-0.98	0.58	0.0002	*
1262.38097828.MYB_family_transcription_factor__putative__expressed	0.152	0.14	0.69	0.69	*
1265.38097850.chloroplast_30S_ribosomal_protein_S3__putative__expressed	0.269	0.0787	0.71	0.57	*
1266.38097863.chloroplast_30S_ribosomal_protein_S3__putative__expressed	-0.117	0.000533	0.4	0.5	*
127.38077574.expressed_protein	-0.584	-0.25	0.059	0.27	*
1270.38097544.SNARE_like_superfamily_protein	-0.306	-0.189	0.2	0.31	*
1270.38097908.breaking_of_asymmetry_in_the_stomatal_lineage	-0.129	0.096	0.37	0.6	*
1271.38097587.SNARE_like_superfamily_protein	-0.151	0.197	0.38	0.64	*
1272.38097599.SNARE_like_superfamily_protein	-0.109	-0.203	0.41	0.37	*
1272.38097933.jasmonate_zim_domain_protein_3	-0.126	-0.201	0.4	0.32	*
1274.38097634.SNARE_like_superfamily_protein	-0.059	-0.363	0.42	0.27	*
1275.38098063.expressed_protein	-0.324	-0.614	0.22	0.051	*
1276.38097659.ARM_repeat_superfamily_protein	0.0784	0.427	0.55	0.77	*
1276.38098071.deoxyhypusine_hydroxylase__putative__expressed	-0.354	-0.687	0.19	0.033	*
1278.38098188.	-0.272	0.594	0.26	0.94	*
1279.38097749.CAAX_amino_terminal_protease_family_protein	0.0218	-0.74	0.53	0.071	*
1281.38098254.lipase__putative__expressed	0.0151	0.251	0.51	0.83	*
1282.38097828.MYB_family_transcription_factor__putative__expressed	0.172	0.0153	0.7	0.53	*
1282.38098256.expressed_protein	0.33	0.332	0.81	0.82	*
1285.38097850.chloroplast_30S_ribosomal_protein_S3__putative__expressed	0.217	0.211	0.68	0.67	*
1286.38097863.chloroplast_30S_ribosomal_protein_S3__putative__expressed	-0.103	-0.0293	0.42	0.48	*
1287.38098377.WD_domain__G_beta_repeat_domain_containing_protein__expressed	0.221	0.02	0.74	0.5	*
1290.38097908.breaking_of_asymmetry_in_the_stomatal_lineage	-0.15	0.0921	0.35	0.61	*
1292.38097933.jasmonate_zim_domain_protein_3	-0.199	-0.387	0.35	0.17	*
1295.38098063.expressed_protein	-0.303	-0.621	0.24	0.051	*
1295.38098599.cytochrome_P450_72A1__putative__expressed	0.158	0.348	0.61	0.72	*
1296.38098071.deoxyhypusine_hydroxylase__putative__expressed	-0.312	-0.701	0.24	0.036	*
1298.38098188.	-0.204	0.574	0.33	0.86	*
13.38075667.plastid_specific_50S_ribosomal_protein_6	-0.935	-0.392	0.02	0.24	*
130.38077723.CDK_inhibitor_P21_binding_protein	-0.213	-0.213	0.3	0.33	*
1300.38098673.Haem_oxygenase_like__multi_helical	-0.323	-0.0872	0.2	0.39	*
1301.38098254.lipase__putative__expressed	0.264	-0.295	0.75	0.23	*
1302.38098256.expressed_protein	0.366	0.337	0.84	0.82	*
1303.38098712.ENT_domain_containing_protein__expressed	0.195	-0.251	0.68	0.33	*
1304.38098714.ulp1_protease_family_protein__putative__expressed	-0.301	-0.148	0.23	0.36	*
1307.38098377.WD_domain__G_beta_repeat_domain_containing_protein__expressed	0.195	0.101	0.72	0.56	*
1310.38098766.	0.487	0.665	0.81	0.92	*
1311.38098775.beta_glucosidase_42	-0.16	-0.436	0.34	0.15	*
